code	fatalities	x	y	name	city	country
OLJ	2	166.55791	-14.881278	Olpoi-Lajmoli Airport	Olpoi-Lajmoli	Vanuatu
SON	2	167.219742	-15.505033	Santo Pekoa International Airport	Santo	Vanuatu
EWR	50	-74.168667	40.6925	Newark Liberty Intl	Newark	United States
BUF	50	-78.732167	42.940525	Buffalo Niagara Intl	Buffalo	United States
CIZ	24	-63.140833	-4.085	Coari Airport	Coari	Brazil
AMS	9	4.763889	52.308613	Schiphol	Amsterdam	Netherlands
SVCS	6	-66.816219	10.286589	Oscar Machado Zuloaga	Caracas	Venezuela
VLV	6	-70.584089	9.340797	Dr Antonio Nicolas Briceno	Valera	Venezuela
TUG	7	121.730614	17.638311	Tuguegarao Airport	Tuguegarao	Philippines
CAJ	1	-62.854433	6.231989	Canaima	Canaima	Venezuela
PMV	18	-63.967581	10.912926	Del Caribe Intl Gen Santiago Marino	Porlamar	Venezuela
GIG	228	-43.243647	-22.808903	Galeao Antonio Carlos Jobim	Rio De Janeiro	Brazil
CDG	228	2.55	49.012779	Charles De Gaulle	Paris	France
YBX	1	-57.1853	51.4436	Lourdes De Blanc Sablon Airport	Lourdes-De-Blanc-Sablon	Canada
YHA	1	-56.2861	52.5281	Port Hope Simpson Airport	Port Hope Simpson	Canada
SAH	152	44.219739	15.476258	Sanaa Intl	Sanaa	Yemen
HAH	152	43.27185	-11.533661	Prince Said Ibrahim	Moroni	Comoros
DJJ	15	140.516372	-2.576953	Sentani	Jayapura	Indonesia
OKL	15	140.6100006	-5.0910602	Oksibil Airport	Oksibil	Indonesia
KBV	1	98.988764	8.095969	Krabi	Krabi	Thailand
USM	1	100.062272	9.547794	Samui	Ko Samui	Thailand
POM	21	147.22005	-9.443383	Port Moresby Jacksons Intl	Port Moresby	Papua New Guinea
KKD	13	147.731	-8.88468	Kokoda Airport	Kokoda	Papua New Guinea
CUR	1	-68.959803	12.188853	Hato	Willemstad	Netherlands Antilles
BON	1	-68.268511	12.131044	Flamingo	Kralendijk	Netherlands Antilles
BLQ	2	11.288667	44.535444	Bologna	Bologna	Italy
YRC	2	-71.051661	48.521218	Saint-Honoré Aerodrome	Chicoutimi	Canada
KGL	1	30.13945	-1.968628	Kigali Intl	Kigali	Rwanda
EBB	1	32.443503	0.042386	Entebbe Intl	Entebbe	Uganda
BEY	90	35.488389	33.820931	Rafic Hariri Intl	Beirut	Lebanon
ADD	90	38.799319	8.977889	Bole Intl	Addis Ababa	Ethiopia
BEL	2	-48.476292	-1.37925	Val De Cans Intl	Belem	Brazil
SNWR	2	-51.9167	-2.5833	Senador José Porfírio	Wilma Rebelo	Brazil
JNB	103	28.246	-26.139166	Johannesburg Intl	Johannesburg	South Africa
TIP	103	13.159011	32.663544	Tripoli Intl	Tripoli	Libya
SMGH	8	-54.786111	4.0575	Godo Holo Airstrip	Godo Holo	Suriname
UND	44	68.910833	36.665111	Konduz	Kunduz	Afghanistan
DXB	158	55.364444	25.252778	Dubai Intl	Dubai	United Arab Emirates
IXE	158	74.890069	12.961267	Mangalore	Mangalore	India
NSI	11	11.553269	3.722556	Yaounde Nsimalen	Yaounde	Cameroon
YQB	7	-71.393333	46.791111	Quebec Jean Lesage Intl	Quebec	Canada
YZV	7	-66.265556	50.223333	Sept Iles	Sept-iles	Canada
KHI	300	67.160797	24.906547	Jinnah Intl	Karachi	Pakistan
ISB	279	73.099233	33.616653	Chaklala	Islamabad	Pakistan
UNKM	12	92.54265	56.179	Cheremshanka	Krasnoyarsk	Russia
IAA	12	86.6219	67.4372	Igarka Airport	Igarka	Russia
HRB	44	126.250328	45.623403	Taiping	Harbin	China
LDS	44	129.018889	47.751944	Yichun Lindu Airport	Yichun	China
FZBS	20	18.082758	-3.183548	Semendwa	Semendwa	Congo
FDU	20	17.381683	-3.311319	Bandundu	Bandoundu	Congo (Kinshasa)
MIS	4	152.838	-10.6892	Misima Island Airport	Misima Island	Papua New Guinea
PZO	17	-62.760361	8.288528	General Manuel Carlos Piar	Guayana	Venezuela
YXD	1	-113.520556	53.5725	Edmonton City Centre	Edmonton	Canada
PAP	71	-72.292542	18.58005	Toussaint Louverture Intl	Port-au-prince	Haiti
HAV	68	-82.409086	22.989153	Jose Marti Intl	Havana	Cuba
VKO	2	37.261486	55.591531	Vnukovo	Moscow	Russia
MCX	2	47.652294	42.816822	Uytash	Makhachkala	Russia
LDN	22	86.670044	27.253117	Lamidanda	Lamidanda	Nepal
GCI	5	-2.601969	49.434956	Guernsey	Guernsey	Guernsey
IAR	44	40.157369454444	57.560666676667	Tunoshna	Yaroslavl	Russia
MHP	44	27.539683	53.864472	Minsk 1	Minsk	Belarus
PES	47	34.1547	61.8852	Petrozavodsk Airport	Petrozavodsk	Russia
SRZ	8	-63.166667	-17.8	Santa Cruz	Santa Cruz	Bolivia
TDD	16	-64.918019	-14.818739	Tte Av Jorge Henrich Arauz	Trinidad	Bolivia
SOQ	25	131.121194	-0.926358	Jefman	Sorong	Indonesia
KNG	25	133.695553	-3.644517	Kaimana	Kaimana	Indonesia
FIH	109	15.444569	-4.38575	Ndjili Intl	Kinshasa	Congo (Kinshasa)
SAP	14	-87.923556	15.452639	La Mesa Intl	San Pedro Sula	Honduras
BHD	6	-5.8725	54.618056	Belfast City	Belfast	United Kingdom
ORK	6	-8.491111	51.841269	Cork	Cork	Ireland
OMH	77	45.0687	37.6681	Uromiyeh Airport	Uromiyeh	Iran
OLH	1	-153.269722	57.218056	Old Harbor Airport	Old Harbor	United States
ADQ	1	-152.493856	57.749967	Kodiak	Kodiak	United States
CAP	3	-72.194739	19.732989	Cap Haitien Intl	Cap Haitien	Haiti
YZF	14	-114.440278	62.462778	Yellowknife	Yellowknife	Canada
YSG	2	-110.682	62.4183	Lutselk'e Airport	Lutselk'e	Canada
LAE	28	146.726242	-6.569828	Nadzab	Nadzab	Papua New Guinea
MAG	28	145.7887	-5.207083	Madang	Madang	Papua New Guinea
YLW	2	-119.377778	49.956112	Kelowna	Kelowna	Canada
NQN	22	-68.155711	-38.949	Presidente Peron	Neuquen	Argentina
CRD	22	-67.465508	-45.785347	Comodoro Rivadavia	Comodoro Rivadavia	Argentina
XPK	1	-101.265957	55.748592	Pukatawagan Airport	Pukatawagan	Canada
YQD	1	-101.091	53.9714	The Pas Airport	The Pas	Canada
TOF	7	85.208333	56.380278	Tomsk Bogashevo Airport	Tomsk	Russia
REC	16	-34.923039	-8.126794	Guararapes Gilberto Freyre Intl	Recife	Brazil
NAT	16	-35.247717	-5.911417	Augusto Severo	Natal	Brazil
YRB	12	-94.969444	74.716944	Resolute Bay	Resolute	Canada
PKR	33	83.982056	28.200881	Pokhara	Pokhara	Nepal
JMO	15	83.7225	28.782222	Jomsom	Jomsom	Nepal
TJM	33	65.3243	57.189567	Roschino	Tyumen	Russia
PUQ	8	-70.854586	-53.002642	Carlos Ibanez Del Campo Intl	Punta Arenas	Chile
SCL	8	-70.785803	-33.392975	Arturo Merino Benitez Intl	Santiago	Chile
PKC	10	158.453669	53.167889	Yelizovo	Petropavlovsk	Russia
UHPL	10	159.888333	59.081667	Palana Airport	Palana	Russia
ANU	3	-61.792667	17.136749	V C Bird Intl	Antigua	Antigua and Barbuda
MNI	3	-62.193333	16.791389	John A. Osborne Airport	Geralds	Montserrat
YWG	2	-97.239886	49.910036	Winnipeg Intl	Winnipeg	Canada
YSK	1	-79.2467	56.5378	Sanikiluaq Airport	Sanikiluaq	Canada
MDL	2	95.977928	21.702156	Mandalay Intl	Mandalay	Burma
HEH	2	96.792044	20.747036	Heho	Heho	Burma
HTN	2	79.864933	37.038522	Hotan	Hotan	China
URC	2	87.474244	43.907106	Diwopu	Urumqi	China
SXQ	10	-151.0382389	60.4749583	Soldotna Airport	Soldotna	United States
BET	4	-161.838	60.779778	Bethel	Bethel	United States
KSM	4	-163.302	62.0605	St Marys Airport	St Mary's	United States
KOV	21	69.5946	53.3291	Kokshetau Airport	Kokshetau	Kazakhstan
ALA	21	77.040508	43.352072	Almaty	Alma-ata	Kazakhstan
ODS	5	30.676464	46.426767	Odesa Intl	Odessa	Ukraine
DOK	5	37.739722	48.073611	Donetsk Intl	Donetsk	Ukraine
SPIS	9	-77.5472031	-7.8716998	Pias Airport	Pataz	Peru
LUP	1	-156.974	21.211	Kalaupapa Airport	Molokai	United States
HNL	1	-157.922428	21.318681	Honolulu Intl	Honolulu	United States
SBCC	5	-54.965422	-9.333936	Cachimbo	Itaituba	Brazil
MPM	33	32.572606	-25.920836	Maputo	Maputo	Mozambique
KUY	3	143.122	-7.42035	Kamusi Airport	Kamusi	Papua New Guinea
KZN	50	49.278728	55.606186	Kazan	Kazan	Russia
YXL	5	-91.905278	50.113889	Sioux Lookout	Sioux Lookout	Canada
YRL	5	-93.7931	51.0669	Red Lake Airport	Red Lake	Canada
VTE	49	102.563256	17.988322	Wattay Intl	Vientiane	Laos
PKZ	49	105.781417	15.132053	Pakse	Pakse	Laos
LTO	14	-111.348361	25.989194	Loreto Intl	Loreto	Mexico
CUA	14	-111.615	25.0538	Ciudad Constitución Airport	Ciudad Constitución	Mexico
BKI	2	116.051181	5.937208	Kota Kinabalu Intl	Kota Kinabalu	Malaysia
KUD	2	116.836	6.9225	Kudat Airport	Kudat	Malaysia
AKR	16	5.301008	7.246739	Akure	Akure	Nigeria
RKV	2	-21.940556	64.13	Reykjavik	Reykjavik	Iceland
AEY	2	-18.072703	65.659994	Akureyri	Akureyri	Iceland
ICN	3	126.450517	37.469075	Incheon Intl	Seoul	South Korea
SFO	3	-122.374889	37.618972	San Francisco Intl	San Francisco	United States
BBU	2	26.102111	44.503194	Aurel Vlaicu	Bucharest	Romania
OMR	2	21.9025	47.025278	Oradea	Oradea	Romania
TUN	11	10.227217	36.851033	Carthage	Tunis	Tunisia
KUL	239	101.709917	2.745578	Kuala Lumpur Intl	Kuala Lumpur	Malaysia
PEK	239	116.584556	40.080111	Capital Intl	Beijing	China
CZM	8	-86.925644	20.522403	Cozumel Intl	Cozumel	Mexico
SLW	8	-100.928669	25.549497	Plan De Guadalupe Intl	Saltillo	Mexico
RUH	1	46.698776	24.95764	King Khaled Intl	Riyadh	Saudi Arabia
PEW	1	71.514581	33.993911	Peshawar Intl	Peshawar	Pakistan
KHH	48	120.350006	22.577094	Kaohsiung Intl	Kaohsiung	Taiwan
MZG	48	119.628311	23.568669	Magong	Makung	Taiwan
OUA	116	-1.512417	12.353194	Ouagadougou	Ouagadougou	Burkina Faso
ALG	116	3.215408	36.691014	Houari Boumediene	Algier	Algeria
TCX	39	56.924444	33.595833	Tabas Airport	Tabas	Iran
WTP	4	147.25	-8.533	Woitape Airport	Woitape	Papua New Guinea
SCMK	9	-73.738694	-43.894417	Melinka Airport	Melinka	Chile
