fatalities	file	type	opr	dep	dest
148	20040103-0	Boeing 737-3Q8	Flash Airlines	SSH	CAI
10	20040117-0	Cessna 208B Grand Caravan	Georgian Express	CYPT	YQG
1	20040128-0	Beechcraft 1900D	Tassili Airlines	HRM	GHA
43	20040210-0	Fokker 50	Kish Air	KIH	SHJ
7	20040504-0	Cessna 208B Grand Caravan	Gobernación del Estado Bolívar	CBL	SVUQ
33	20040514-0	Embraer 120ER Brasilia	Rico Linhas Aéreas	TFF	MAO
1	20040518-1	Antonov 2P	Araiavia		
19	20040608-0	Hawker Siddeley HS-748-232 Srs. 2A	Gabon Express	LBV	MVB
2	20040626-0	Lisunov Li-2T	FLA RF	UUBM	KLF
37	20040113-0	Yakovlev 40	Uzbekistan Airways	TMJ	TAS
44	20040824-0	Tupolev 134A-3	Volga-Aviaexpress	DME	VOG
46	20040824-1	Tupolev 154B-2	Sibir Airlines	DME	AER
13	20041019-0	British Aerospace 3201 Jetstream 32EP		STL	IRK
4	20041118-0	British Aerospace 3101 Jetstream 31	Venezolana - Linea Aerea Bolivariana	VIG	CCS
55	20041121-0	Canadair CL-600-2B19 Regional Jet CRJ-200LR	China Yunnan Airlines	BAV	SHA
3	20041128-0	Canadair CL-600-2A12 Challenger 601		MTJ	SBN
25	20041130-0	McDonnell Douglas MD-82	Lion Air	CGK	SOC
9	20050113-1	Antonov 2	Tura Air Enterprise	UNIW	UNIT
104	20050203-1	Boeing 737-242		HEA	KBL
2	20050222-0	de Havilland Canada DHC-6 Twin Otter 300	MAF PNG - Missionary Aviation Fellowship	TBG	BIZ
28	20050316-0	Antonov 24RV		USK	
9	20050326-0	Let L-410UVP-E	West Caribbean Airways	PVA	ADZ
17	20050412-0	de Havilland Canada DHC-6 Twin Otter 100	GT Air	TIM	EWI
3	20050420-0	Boeing 707-3J9C	Saha Air	KIH	THR
10	20050505-0	Antonov 26			IRP
15	20050507-0	Swearingen SA227-DC Metro 23		ABM	IRG
27	20050525-0	Antonov 12BP	Victoria Air	GOM	KND
7	20050602-0	Antonov 24B		KRT	ELF
60	20050716-0	Antonov 24B	Equatorial Express Airlines	SSG	BSG
16	20050806-0	ATR-72-202	Tuninter	BRI	DJE
121	20050814-0	Boeing 737-31S	Helios Airways	LCA	ATH
1	20050814-1	Dornier Do 28D-2 Skyservant	Linea Aéreo-Taxi Wayumi	PYH	
160	20050816-0	McDonnell Douglas MD-82	West Caribbean Airways	PTY	FDF
40	20050823-0	Boeing 737-244	Transportes Aéreos Nacionales de la Selva - TANS	LIM	PCL
149	20050905-0	Boeing 737-230	Mandala Airlines	MES	CGK
11	20050905-1	Antonov 26B		BNC	IRP
13	20050909-1	Antonov 26B	Air Kasai	BNB	
2	20051004-0	Antonov 12	Wimbi Dira Airways	FKI	BUX
117	20051022-0	Boeing 737-2L9	Bellview Airlines	LOS	ABV
23	20051223-0	Antonov 140-100	Azerbaijan Airlines	GYD	SCO
20	20051219-0	Grumman G-73T Turbo Mallard	Chalk's Ocean Airways	SPB	SPB
108	20051210-0	McDonnell Douglas DC-9-32	Sosoliso Airlines	ABV	PHC
3	20051118-1	Britten-Norman BN-2A-21 Islander	Blancaneaux Lodge	BZE	
3	20060121-0	Cessna 208B Grand Caravan	Sonicblue Airways	YAZ	YVR
5	20060324-0	Cessna 208B Grand Caravan	ATESA (Aerotaxis Ecuatorianos SA)	CUE	XMS
19	20060331-0	Let L-410UVP-E20	TEAM Transportes Aéreos	MEA	SDU
1	20060416-0	Fokker F-27 Friendship 400M	Transporte Aéreo Militar - TAM	RIB	GYA
5	20060424-0	Antonov 32B		KDH	BST
113	20060503-0	Airbus A320-211	Armavia	EVN	AER
9	20060621-0	de Havilland Canada DHC-6 Twin Otter 300	Yeti Airlines	SKH	JUM
125	20060709-0	Airbus A310-324	S7 Airlines	DME	IKT
45	20060710-0	Fokker F-27 Friendship 200	Pakistan International Airlines - PIA	MUX	LHE
17	20060803-0	Antonov 28	TRACEP-Congo Aviation		BKY
170	20060822-0	Tupolev 154M	Pulkovo Aviation Enterprise	AAQ	LED
49	20060827-0	Canadair CL-600-2B19 Regional Jet CRJ-100ER		LEX	ATL
28	20060901-0	Tupolev 154M	Iran Air Tours	BND	MHD
154	20060929-0	Boeing 737-8EH	Gol Transportes Aéreos	MAO	BSB
