fatalities	file	type	opr	dep	dest
4	20061010-0	British Aerospace BAe-146-200A	Atlantic Airways	SVG	SRP
96	20061029-0	Boeing 737-2B7	ADC Airlines	ABV	SKO
12	20061117-0	de Havilland Canada DHC-6 Twin Otter 300	Trigana Air Service	LII	ILA
1	20070206-1	Beechcraft 200C Super King Air	Air Turks & Caicos (2003)	NCA	GDT
21	20070307-0	Boeing 737-497	Garuda Indonesia Airways	CGK	JOG
6	20070317-0	Tupolev 134A-3	UTAir	SGC	KUF
3	20070425-0	Britten-Norman BN-2A-27 Islander	Air Services	KTO	
114	20070505-0	Boeing 737-8AL	Kenya Airways	DLA	NBO
13	20070524-0	de Havilland Canada DHC-6 Twin Otter 300	Fuerza Aérea del Peru - FAP	SPON	SPPH
1	20070621-0	Let L-410UVP	Karibu Airways	KMN	FBM
22	20070625-0	Antonov 24B	PMT Air	REP	KOS
6	20070628-0	Boeing 737-2M2	TAAG Angola Airlines	LAD	SSY
2	20070705-1	Cessna 208B Grand Caravan	Lancton Taverns Ltd.	IIA	EICA
1	20070708-0	de Havilland Canada DHC-6 Twin Otter 100	Liard Air		YXS
199	20070717-0	Airbus A320-233	TAM Linhas Aéreas	POA	CGH
20	20070809-0	de Havilland Canada DHC-6 Twin Otter 300	Air Moorea	MOZ	PPT
90	20070916-0	McDonnell Douglas MD-82	One-Two-Go Airlines	DMK	HKT
17	20071008-0	Let L-410UVP-E10A	Nacional de Aviación	VVC	URI
2	20071025-0	Beechcraft A100 King Air	Air Creebec	YVO	YMT
57	20071130-0	McDonnell Douglas MD-83		IST	ISE
102	20070101-0	Boeing 737-4Q8	AdamAir	SUB	MDC
34	20070109-0	Antonov 26B-100	Aeriantur-M Airlines	ADA	
13	20080119-0	Beechcraft B200 Super King Air	Gira Globo	LAD	NOV
46	20080221-0	ATR-42-300	Santa Bárbara Airlines	MRD	CCS
19	20080403-0	Antonov 28	Blue Wing Airlines	ORG	
40	20080415-0	McDonnell Douglas DC-9-51	Hewa Bora Airways	GOM	FKI
13	20080416-0	Antonov 32	Equatorial Guinea National Guard	BSG	
21	20080502-0	Beechcraft 1900C		WUU	RBX
5	20080530-0	Airbus A320-233	TACA International Airlines	SAL	TGU
1	20080607-1	Cessna 208B Grand Caravan	Patagonia Airlines	SCPF	SCLJ
30	20080610-0	Airbus A310-324	Sudan Airways	DAM	KRT
9	20080710-0	Beechcraft 99A	Aerocord	SCPF	SCMK
154	20080820-0	McDonnell Douglas MD-82	Spanair	MAD	LPA
65	20080824-0	Boeing 737-219	Itek Air	FRU	IKA
11	20080824-1	Cessna 208 Caravan I	Aéreo Ruta Maya	GUA	
17	20080901-1	Beechcraft 1900C-1		FKI	BKY
88	20080914-0	Boeing 737-505	Aeroflot-Nord	SVO	PEE
9	20081005-0	Britten-Norman BN-2A-26 Islander	private	MQP	FATP
18	20081008-0	de Havilland Canada DHC-6 Twin Otter 300	Yeti Airlines	KTM	LUA
12	20081215-0	Britten-Norman BN-2A Trislander Mk.III-2	Línea Aérea Puertorriqueña (LAP)	STI	MYG
14	20080104-0	Let L-410UVP-E3	Transaven	CCS	LRV
2	20081219-0	Britten-Norman BN-2A-20 Islander	Air Vanuatu	OLJ	SON
50	20090212-0	de Havilland Canada DHC-8-402 Q400	Colgan Air	EWR	BUF
24	20090207-1	Embraer 110P1 Bandeirante	Manaus Aerotáxi	CIZ	MAO
9	20090225-0	Boeing 737-8F2	THY Turkish Airlines	IST	AMS
6	20090301-0	Beechcraft 100 King Air	Command Air	SVCS	VLV
7	20090402-0	Britten-Norman BN-2A Islander	Chemtrad Aviation	TUG	
1	20090417-0	Cessna 208B Grand Caravan	Línea Turística Aereotuy - LTA	CAJ	PMV
228	20090601-0	Airbus A330-203	Air France	GIG	CDG
152	20090630-0	Airbus A310-324	Yemenia Airways	SAH	HAH
168	20090715-0	Tupolev 154M	Caspian Airlines	IKA	EVN
16	20090724-0	Ilyushin 62M	Aria Air	THR	MHD
15	20090802-0	de Havilland Canada DHC-6 Twin Otter 300	Merpati Nusantara Airlines	DJJ	OKL
1	20090804-0	ATR-72-212A (ATR-72-500)	Bangkok Airways	KBV	USM
13	20090811-0	de Havilland Canada DHC-6 Twin Otter 300	Airlines PNG	POM	KKD
1	20091022-0	Britten-Norman BN-2A-26 Islander	Divi Divi Air	CUR	BON
2	20091209-0	Beechcraft A100 King Air	Exact Air	YVO	YRC
1	20091112-0	Canadair CL-600-2B19 Regional Jet CRJ-100ER		KGL	EBB
90	20100125-0	Boeing 737-8AS (WL)	Ethiopian Airlines	BEY	ADD
2	20100125-1	Embraer 110C Bandeirante	Piquiatuba Táxi Aéreo	BEL	SNWR
103	20100512-0	Airbus A330-202	Afriqiyah Airways	JNB	TIP
8	20100515-0	Antonov 28	Blue Wing Airlines	SMGH	ORG
44	20100517-0	Antonov 24B	Pamir Airways	UND	KBL
158	20100522-0	Boeing 737-8HG (WL)	Air India Express	DXB	IXE
11	20100619-1	CASA C-212-CB Aviocar 100	Aéro-Service	NSI	
7	20100623-0	Beechcraft A100 King Air	Aéropro	YQB	YZV
152	20100728-0	Airbus A321-231	Airblue	KHI	ISB
12	20100803-0	Antonov 24RV	Katekavia	UNKM	IAA
2	20100816-0	Boeing 737-73V (WL)	AIRES Colombia	BOG	ADZ
44	20100824-0	Embraer ERJ 190-100 LR  (ERJ-190LR)	Henan Airlines	HRB	LDS
14	20100824-1	Dornier 228-101	Agni Air	KTM	LUA
20	20100825-0	Let L-410UVP-E20C	Filair	FZBS	FDU
4	20100831-0	Cessna 550 Citation II	Trans Air	POM	MIS
17	20100913-0	ATR-42-320	Conviasa	PMV	PZO
1	20101025-0	Beechcraft 100 King Air	Kenn Borek Air	YXD	
68	20101104-0	ATR-72-212	Aerocaribbean	PAP	HAV
21	20101105-0	Beechcraft 1900C-1	JS Air	KHI	
2	20101204-0	Tupolev 154M	Dagestan Airlines	VKO	MCX
22	20101215-0	de Havilland Canada DHC-6 Twin Otter 310	Tara Air	LDN	KTM
5	20100809-0	de Havilland Canada DHC-3T Texas Turbine Otter	GCI Communication Corp.	GCI	
44	20110907-0	Yakovlev 42D	YAK Service	IAR	MHP
47	20110620-0	Tupolev 134A-3		DME	PES
8	20110906-0	Swearingen SA227-BC Metro III	Aerocon	SRZ	TDD
2	20110922-0	de Havilland Canada DHC-6 Twin Otter 300	Arctic Sunwest Charters		
25	20110507-0	Xian MA60	Merpati Nusantara Airlines	SOQ	KNG
32	20110404-0	Canadair CL-600-2B19 Regional Jet CRJ-100ER		FKI	FIH
14	20110214-0	Let L-410UVP-E20	Central American Airways - CAA	SAP	TGU
6	20110210-0	Swearingen SA227-BC Metro III		BHD	ORK
77	20110109-0	Boeing 727-286	Iran Air	THR	OMH
3	20110101-0	Tupolev 154B-2	Kolavia	SGC	DME
1	20110923-0	de Havilland Canada DHC-3T Texas Turbine Otter	Servant Air	OLH	ADQ
3	20110920-0	Beechcraft 99A	SALSA d'Haiti	PAP	CAP
19	20110925-0	Beechcraft 1900D	Buddha Air	KTM	KTM
18	20110929-0	CASA/Nurtanio NC-212 Aviocar 200	Nusantara Buana Air	MES	
2	20111004-0	Cessna 208B Grand Caravan	Air Tindi	YZF	YSG
28	20111013-0	de Havilland Canada DHC-8-102	Airlines PNG	LAE	MAG
8	20111014-0	Cessna 208B Grand Caravan	Moremi Air		
2	20111027-0	Beechcraft 100 King Air	Northern Thunderbird Air	YVR	YLW
22	20110518-0	Saab 340A	SOL Líneas Aéreas	NQN	CRD
1	20110704-0	Cessna 208B Grand Caravan	Missinippi Airways	XPK	YQD
7	20110711-0	Antonov 24RV	Angara Airlines	TOF	SGC
16	20110713-0	Let L-410UVP-E20	NOAR Linhas Aéreas	REC	NAT
77	20110708-0	Boeing 727-022 (WL)	Hewa Bora Airways	FIH	FKI
12	20110820-0	Boeing 737-210C	First Air	YZF	YRB
1	20110822-0	Antonov 2	Sayanian Cedar		
163	20120603-0	McDonnell Douglas MD-83	Dana Air	ABV	LOS
15	20120514-0	Dornier 228-212	Agni Air	PKR	JMO
127	20120420-0	Boeing 737-236	Bhoja Airlines	KHI	ISB
33	20120402-0	ATR-72-201	UTAir	TJM	SGC
32	20120819-0	Antonov 26-100	Alfa Airlines	KRT	
4	20120822-0	Let L-410UVP-E9	Mombasa Air Safari		
10	20120912-0	Antonov 28	Petropavlovsk-Kamchatsky Air Enterprise	PKC	UHPL
19	20120928-0	Dornier 228-202	Sita Air	KTM	LUA
3	20121007-1	Britten-Norman BN-2A-26 Islander	FlyMontserrat	ANU	MNI
1	20121118-0	Cessna 208B Grand Caravan	Gogal Air Service		YWG
1	20121222-0	Swearingen SA227-AC Metro III		YWG	YSK
2	20121225-0	Fokker 100	Air Bagan	MDL	HEH
2	20120629-0	Embraer ERJ 190-100 LR  (ERJ-190LR)	Tianjin Airlines	HTN	URC
10	20130707-0	de Havilland Canada DHC-3T Texas Turbine Otter	Rediske Air	SXQ	
4	20131129-1	Cessna 208B Grand Caravan	Era Alaska	BET	KSM
6	20130104-0	Britten-Norman BN-2A-27 Islander	Transaereo 5074	LRV	CCS
21	20130129-0	Canadair CL-600-2B19 Regional Jet CRJ-200ER	SCAT	KOV	ALA
5	20130213-0	Antonov 24RV	South Airlines	ODS	DOK
9	20130306-0	Beechcraft B200 King Air	Aero Transporte SA - ATSA	LIM	SPIS
1	20131211-0	Cessna 208B Grand Caravan	Makani Kai Air	LUP	HNL
33	20131129-0	Embraer ERJ 190-100 IGW (ERJ-190AR)	Linhas Aéreas de Moçambique - LAM	MPM	LAD
3	20131125-0	Cessna 208B Grand Caravan	Tropicair	KUY	
50	20131117-0	Boeing 737-53A	Tatarstan Airlines	DME	KZN
5	20131110-0	Swearingen SA227-AC Metro III	Bearskin Airlines	YXL	YRL
8	20131103-0	Swearingen SA227-AC Metro III	Aerocon	TDD	RIB
49	20131016-0	ATR-72-212A (ATR-72-600)	Lao Airlines	VTE	PKZ
14	20131014-0	Cessna 208B Grand Caravan	AereoServicio Guerrero	LTO	CUA
2	20131010-0	de Havilland Canada DHC-6 Twin Otter 310	MASwings	BKI	KUD
16	20131003-0	Embraer 120RT Brasilia	Associated Aviation	LOS	AKR
3	20130706-0	Boeing 777-28EER	Asiana Airlines	ICN	SFO
18	20140216-0	de Havilland Canada DHC-6 Twin Otter 300	Nepal Airlines	PKR	JUM
239	20140308-0	Boeing 777-2H6ER	Malaysia Airlines	KUL	PEK
8	20140419-0	British Aerospace BAe-125-700A	Líneas Aéreas Comerciales, SA - LACSA	CZM	SLW
1	20140624-0	Airbus A310-324ET	Pakistan International Airlines - PIA	RUH	PEW
48	20140723-0	ATR 72-500 (72-212A)	TransAsia Airways	KHH	MZG
116	20140724-0	McDonnell Douglas MD-83		OUA	ALG
39	20140810-0	HESA IrAn-140-100	Sepahan Airlines	THR	TCX
4	20140920-0	de Havilland Canada DHC-6 Twin Otter 300	Hevilift	WTP	POM
162	20141228-0	Airbus A320-216	Indonesia AirAsia	SUB	SIN
